severity,table,rule_id,rule_name,group_no,dept_no,record_key,field,value,detail
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A001,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A002,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A003,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A004,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A005,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A006,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A007,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A008,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A009,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A010,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A011,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A012,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A013,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A014,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A015,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A016,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A017,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A018,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A019,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A020,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A021,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A022,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A023,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A024,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A025,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A026,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A027,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A028,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A029,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A030,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A031,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A032,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A033,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A034,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A035,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A036,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A037,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A038,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A039,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A040,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A041,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A042,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A043,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A044,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A045,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A046,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A047,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A048,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A049,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,A,21|A|A050,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B001,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B002,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B003,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B004,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B005,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B006,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B007,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B008,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B009,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B010,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B011,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B012,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B013,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B014,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B015,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B016,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B017,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B018,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B019,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B020,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B021,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B022,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B023,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B024,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B025,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B026,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
WARNING,student,NON_STANDARD_GENDER,性别写法非标准,21,B,21|B|B027,gender,?,gender 建议统一为 男/女 或 M/F 后再分析
