severity,table,rule_id,rule_name,group_no,dept_no,count,example_detail
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,8,A,100,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,8,B,250,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,8,C,150,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,12,A,1,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,23,B,125,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,23,C,125,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,28,A,50,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,28,B,50,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,COURSE_NOT_FOUND,选课课程不存在,28,C,50,sc 中的 group_no + dept_no + course_id 在 course 表不存在
ERROR,sc,SCORE_MISSING,成绩缺失或占位,2,B,720,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,2,C,840,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,3,B,26,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,3,C,175,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,4,A,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,4,B,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,4,C,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,12,A,251,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,12,B,251,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,19,A,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,19,B,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,19,C,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,20,A,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,20,B,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,20,C,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,22,A,251,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,22,B,252,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,27,A,149,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,27,B,1,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,27,C,1,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,28,A,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,SCORE_MISSING,成绩缺失或占位,28,B,250,score 为空、NUL、NULL 或其他缺失占位，无法参与均分/及格率计算
ERROR,sc,STUDENT_NOT_FOUND,选课学生不存在,7,B,181,sc 中的 group_no + dept_no + student_id 在 student 表不存在
ERROR,sc,STUDENT_NOT_FOUND,选课学生不存在,7,C,129,sc 中的 group_no + dept_no + student_id 在 student 表不存在
ERROR,sc,STUDENT_NOT_FOUND,选课学生不存在,12,B,1,sc 中的 group_no + dept_no + student_id 在 student 表不存在
