metric,group_no,dept_no,row_count
student_group_dept_counts,1,A,50
student_group_dept_counts,1,B,50
student_group_dept_counts,1,C,50
student_group_dept_counts,2,A,126
student_group_dept_counts,2,B,125
student_group_dept_counts,2,C,123
student_group_dept_counts,3,A,50
student_group_dept_counts,3,B,50
student_group_dept_counts,3,C,51
student_group_dept_counts,4,A,50
student_group_dept_counts,4,B,50
student_group_dept_counts,4,C,50
student_group_dept_counts,5,A,50
student_group_dept_counts,5,B,50
student_group_dept_counts,5,C,50
student_group_dept_counts,6,A,50
student_group_dept_counts,6,B,50
student_group_dept_counts,6,C,50
student_group_dept_counts,7,A,100
student_group_dept_counts,7,B,37
student_group_dept_counts,7,C,13
student_group_dept_counts,8,A,50
student_group_dept_counts,8,B,50
student_group_dept_counts,8,C,50
student_group_dept_counts,9,A,50
student_group_dept_counts,9,B,50
student_group_dept_counts,9,C,50
student_group_dept_counts,10,A,50
student_group_dept_counts,10,B,50
student_group_dept_counts,10,C,50
student_group_dept_counts,11,A,50
student_group_dept_counts,11,B,50
student_group_dept_counts,11,C,50
student_group_dept_counts,12,A,50
student_group_dept_counts,12,B,50
student_group_dept_counts,12,C,50
student_group_dept_counts,14,A,50
student_group_dept_counts,14,B,50
student_group_dept_counts,14,C,50
student_group_dept_counts,15,A,50
student_group_dept_counts,15,B,50
student_group_dept_counts,15,C,50
student_group_dept_counts,16,A,50
student_group_dept_counts,16,B,50
student_group_dept_counts,16,C,50
student_group_dept_counts,17,A,50
student_group_dept_counts,17,B,50
student_group_dept_counts,17,C,50
student_group_dept_counts,18,A,50
student_group_dept_counts,18,B,50
student_group_dept_counts,18,C,50
student_group_dept_counts,19,A,50
student_group_dept_counts,19,B,50
student_group_dept_counts,19,C,50
student_group_dept_counts,20,A,50
student_group_dept_counts,20,B,50
student_group_dept_counts,20,C,50
student_group_dept_counts,21,A,50
student_group_dept_counts,21,B,50
student_group_dept_counts,21,C,50
student_group_dept_counts,22,A,51
student_group_dept_counts,22,B,51
student_group_dept_counts,22,C,51
student_group_dept_counts,23,A,50
student_group_dept_counts,23,B,50
student_group_dept_counts,23,C,50
student_group_dept_counts,25,B,50
student_group_dept_counts,25,C,50
student_group_dept_counts,27,A,50
student_group_dept_counts,27,B,50
student_group_dept_counts,27,C,50
student_group_dept_counts,28,A,50
student_group_dept_counts,28,B,50
student_group_dept_counts,28,C,50
student_group_dept_counts,221250099,C,1
course_group_dept_counts,1,A,10
course_group_dept_counts,1,B,10
course_group_dept_counts,1,C,10
course_group_dept_counts,2,A,104
course_group_dept_counts,2,B,104
course_group_dept_counts,2,C,104
course_group_dept_counts,3,A,10
course_group_dept_counts,3,B,10
course_group_dept_counts,3,C,10
course_group_dept_counts,4,A,10
course_group_dept_counts,4,B,10
course_group_dept_counts,4,C,10
course_group_dept_counts,5,A,10
course_group_dept_counts,5,B,10
course_group_dept_counts,5,C,10
course_group_dept_counts,6,A,10
course_group_dept_counts,6,B,10
course_group_dept_counts,6,C,10
course_group_dept_counts,7,A,10
course_group_dept_counts,7,B,10
course_group_dept_counts,7,C,10
course_group_dept_counts,8,A,6
course_group_dept_counts,8,C,4
course_group_dept_counts,9,A,10
course_group_dept_counts,9,B,10
course_group_dept_counts,9,C,10
course_group_dept_counts,10,A,10
course_group_dept_counts,10,B,10
course_group_dept_counts,10,C,10
course_group_dept_counts,11,A,10
course_group_dept_counts,11,B,10
course_group_dept_counts,11,C,10
course_group_dept_counts,12,A,10
course_group_dept_counts,12,B,10
course_group_dept_counts,12,C,10
course_group_dept_counts,14,A,10
course_group_dept_counts,14,B,10
course_group_dept_counts,14,C,10
course_group_dept_counts,15,A,10
course_group_dept_counts,15,B,10
course_group_dept_counts,15,C,10
course_group_dept_counts,16,A,10
