course_id,score_mean,score_std,score_median,pass_rate,excellent_rate,student_count,credit,class_hours,practice_hours,total_hours,practice_ratio,share_flag,is_online,teacher_rank
11AC01,79.2400,12.0564,80.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,3
11AC02,80.8000,12.1244,80.0000,1.0000,0.2800,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
11AC03,79.0800,11.9997,79.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,3
11AC04,80.6400,11.8564,81.0000,1.0000,0.2800,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
11AC05,80.5600,12.1521,80.0000,1.0000,0.2800,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
11AC06,80.6400,12.2640,82.0000,1.0000,0.3200,25,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,3
11AC07,79.0800,12.1858,78.0000,1.0000,0.2800,25,2.0000,32.0000,0.0000,32.0000,0.0000,0.0000,0,3
11AC08,79.1600,12.2361,78.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,0.0000,0,3
11AC09,80.8800,11.9594,82.0000,1.0000,0.2800,25,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,3
11AC10,79.3200,11.7286,79.0000,1.0000,0.2400,25,2.0000,32.0000,0.0000,32.0000,0.0000,0.0000,0,3
11B0001,76.5600,12.2749,73.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
11B0002,77.7600,10.6234,79.0000,1.0000,0.2000,25,2.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
11B0003,82.2400,10.6234,81.0000,1.0000,0.2800,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
11B0004,83.4400,12.2749,87.0000,1.0000,0.3600,25,2.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
11B0005,79.7200,12.7362,78.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
11B0006,76.8800,11.7307,78.0000,1.0000,0.2400,25,2.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
11B0007,78.9600,11.3999,79.0000,1.0000,0.2400,25,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
11B0008,81.0400,11.3999,81.0000,1.0000,0.2800,25,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
11B0009,83.1200,11.7307,82.0000,1.0000,0.3200,25,2.0000,32.0000,0.0000,32.0000,0.0000,0.0000,0,1
11B0010,80.2800,12.7362,82.0000,1.0000,0.2400,25,4.0000,64.0000,0.0000,64.0000,0.0000,0.0000,0,1
11C001,75.6000,10.7548,72.0000,1.0000,0.2000,25,4.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
11C002,76.2000,11.0755,73.0000,1.0000,0.2000,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
11C003,76.8000,11.3725,74.0000,1.0000,0.2000,25,3.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0,1
11C004,77.4000,11.6476,75.0000,1.0000,0.2000,25,2.0000,36.0000,0.0000,36.0000,0.0000,1.0000,0,1
11C005,78.0000,11.9024,76.0000,1.0000,0.2000,25,2.0000,32.0000,0.0000,32.0000,0.0000,0.0000,0,1
11C006,79.0000,11.9024,77.0000,1.0000,0.2000,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
11C007,80.0000,11.9024,78.0000,1.0000,0.2000,25,3.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0,1
11C008,81.0000,11.9024,79.0000,1.0000,0.2000,25,2.0000,32.0000,0.0000,32.0000,0.0000,1.0000,0,1
11C009,74.0000,10.4083,70.0000,1.0000,0.2000,25,2.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0,1
11C010,75.0000,10.4083,71.0000,1.0000,0.2000,25,2.0000,36.0000,0.0000,36.0000,0.0000,1.0000,0,1
15A001,87.2800,7.9566,89.0000,1.0000,0.4400,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15A002,85.0600,8.5294,87.5000,1.0000,0.4200,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15A003,83.9000,8.3330,81.5000,1.0000,0.3200,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15A004,83.4800,9.2763,84.5000,1.0000,0.2800,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15A005,86.1800,9.0524,87.5000,1.0000,0.4600,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15B001,87.2400,8.2278,88.0000,1.0000,0.4800,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15B002,86.3600,8.7008,88.5000,1.0000,0.4600,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15B003,82.5600,8.2417,84.0000,1.0000,0.2400,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15B004,83.5000,8.3770,85.0000,1.0000,0.2200,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15B005,86.1400,8.6213,88.5000,1.0000,0.4600,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15C001,82.8200,8.1182,83.0000,1.0000,0.2200,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15C002,85.1800,7.8913,85.0000,1.0000,0.3600,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15C003,83.4200,8.9468,82.5000,1.0000,0.3000,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15C004,86.4000,8.1891,87.5000,1.0000,0.4400,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
15C005,83.9400,9.6032,83.0000,1.0000,0.3400,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
16B101,0.0000,0.0000,0.0000,0.0000,0.0000,25,4.0000,56.0000,8.0000,64.0000,0.1250,1.0000,0,1
16B102,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
16B103,0.0000,0.0000,0.0000,0.0000,0.0000,25,4.0000,48.0000,16.0000,64.0000,0.2500,0.0000,0,1
16B104,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,32.0000,16.0000,48.0000,0.3333,1.0000,0,1
16B105,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,40.0000,8.0000,48.0000,0.1667,1.0000,0,1
16B106,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,40.0000,8.0000,48.0000,0.1667,0.0000,0,1
16B107,0.0000,0.0000,0.0000,0.0000,0.0000,25,4.0000,48.0000,16.0000,64.0000,0.2500,1.0000,0,1
16B108,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,40.0000,8.0000,48.0000,0.1667,0.0000,0,1
16B109,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,32.0000,16.0000,48.0000,0.3333,1.0000,0,1
16B110,0.0000,0.0000,0.0000,0.0000,0.0000,25,3.0000,40.0000,8.0000,48.0000,0.1667,1.0000,0,1
16C101,0.0000,0.0000,0.0000,0.0000,0.0000,26,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
16C102,0.0000,0.0000,0.0000,0.0000,0.0000,25,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,1
16C103,0.0000,0.0000,0.0000,0.0000,0.0000,16,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
16C104,0.0000,0.0000,0.0000,0.0000,0.0000,21,2.0000,32.0000,0.0000,32.0000,0.0000,1.0000,0,1
16C105,0.0000,0.0000,0.0000,0.0000,0.0000,28,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
16C106,0.0000,0.0000,0.0000,0.0000,0.0000,21,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
16C107,0.0000,0.0000,0.0000,0.0000,0.0000,29,2.0000,32.0000,0.0000,32.0000,0.0000,1.0000,0,1
16C108,0.0000,0.0000,0.0000,0.0000,0.0000,23,3.0000,48.0000,0.0000,48.0000,0.0000,0.0000,0,1
16C109,0.0000,0.0000,0.0000,0.0000,0.0000,31,2.0000,32.0000,0.0000,32.0000,0.0000,1.0000,0,1
16C110,0.0000,0.0000,0.0000,0.0000,0.0000,30,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,1
28A001,0.0000,0.0000,0.0000,0.0000,0.0000,4,,,,,0.0000,,0,1
28A002,0.0000,0.0000,0.0000,0.0000,0.0000,4,,,,,0.0000,,0,1
28A004,0.0000,0.0000,0.0000,0.0000,0.0000,3,,,,,0.0000,,0,1
28A006,0.0000,0.0000,0.0000,0.0000,0.0000,5,,,,,0.0000,,0,1
28A009,0.0000,0.0000,0.0000,0.0000,0.0000,8,,,,,0.0000,,0,1
28B0001,0.0000,0.0000,0.0000,0.0000,0.0000,6,,,,,0.0000,,0,1
28B0003,0.0000,0.0000,0.0000,0.0000,0.0000,2,,,,,0.0000,,0,1
28B0004,0.0000,0.0000,0.0000,0.0000,0.0000,7,,,,,0.0000,,0,1
28B0007,0.0000,0.0000,0.0000,0.0000,0.0000,3,,,,,0.0000,,0,1
28B0009,0.0000,0.0000,0.0000,0.0000,0.0000,8,,,,,0.0000,,0,1
28C001,0.0000,0.0000,0.0000,0.0000,0.0000,22,3.0000,48.0000,,,0.0000,1.0000,0,3
28C002,0.0000,0.0000,0.0000,0.0000,0.0000,20,3.0000,48.0000,,,0.0000,1.0000,0,3
28C003,0.0000,0.0000,0.0000,0.0000,0.0000,22,2.0000,32.0000,,,0.0000,0.0000,0,3
28C004,0.0000,0.0000,0.0000,0.0000,0.0000,16,3.0000,48.0000,,,0.0000,1.0000,0,3
28C005,0.0000,0.0000,0.0000,0.0000,0.0000,18,2.0000,32.0000,,,0.0000,0.0000,0,3
28C006,0.0000,0.0000,0.0000,0.0000,0.0000,20,3.0000,48.0000,,,0.0000,1.0000,0,3
28C007,0.0000,0.0000,0.0000,0.0000,0.0000,21,2.0000,32.0000,,,0.0000,0.0000,0,3
28C008,0.0000,0.0000,0.0000,0.0000,0.0000,19,3.0000,48.0000,,,0.0000,1.0000,0,3
28C009,0.0000,0.0000,0.0000,0.0000,0.0000,21,2.0000,32.0000,,,0.0000,0.0000,0,3
28C010,0.0000,0.0000,0.0000,0.0000,0.0000,21,3.0000,48.0000,,,0.0000,0.0000,0,3
A-C001,73.8400,12.5688,76.5000,0.8200,0.1000,50,4.0000,64.0000,0.0000,64.0000,0.0000,1.0000,0,3
A-C002,76.7000,10.9213,77.0000,0.9400,0.1600,50,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
A-C003,76.2400,11.6243,75.0000,0.9400,0.1600,50,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
A-C004,77.8800,11.2207,79.5000,0.9600,0.2200,50,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
A-C005,75.0400,12.1738,75.5000,0.9000,0.1400,50,3.0000,48.0000,0.0000,48.0000,0.0000,1.0000,0,3
A0000001,81.0800,11.6402,85.0000,1.0000,0.3200,25,4.0000,,,,0.0000,0.0000,0,1
A0000002,82.0800,12.6357,80.0000,1.0000,0.4000,25,4.0000,,,,0.0000,0.0000,0,1
A0000003,78.1600,12.2735,78.0000,1.0000,0.2000,25,3.0000,,,,0.0000,0.0000,0,1
A0000004,79.1600,11.2460,81.0000,1.0000,0.1600,25,3.0000,,,,0.0000,0.0000,0,1
A0000005,81.8000,11.1505,85.0000,1.0000,0.3200,25,2.0000,,,,0.0000,0.0000,0,1
A0000006,83.5200,12.3596,88.0000,1.0000,0.4400,25,3.0000,,,,0.0000,0.0000,0,1
A0000007,80.3200,13.6220,80.0000,1.0000,0.3200,25,3.0000,,,,0.0000,0.0000,0,1
A0000008,77.1200,12.7943,78.0000,1.0000,0.2000,25,3.0000,,,,0.0000,0.0000,0,1
A0000009,77.2000,11.1505,74.0000,1.0000,0.2000,25,2.0000,,,,0.0000,0.0000,0,1
A0000010,80.5600,11.2845,78.0000,1.0000,0.2800,25,3.0000,,,,0.0000,0.0000,0,1
A0001,78.8696,8.4869,78.0000,1.0000,0.1304,23,4.0000,0.0000,,,0.0000,1.0000,0,3
A0002,80.1818,11.7672,80.0000,1.0000,0.2121,33,4.0000,0.0000,,,0.0000,1.0000,0,3
A0003,81.6316,9.4881,83.0000,1.0000,0.1579,19,3.0000,0.0000,,,0.0000,1.0000,0,3
A0004,77.8966,8.4951,79.0000,1.0000,0.1034,29,3.0000,0.0000,,,0.0000,1.0000,0,3
A0005,79.4231,7.1787,79.5000,1.0000,0.1154,26,3.0000,0.0000,,,0.0000,1.0000,0,3
A0006,77.5385,9.8964,80.5000,1.0000,0.1154,26,3.0000,0.0000,,,0.0000,1.0000,0,3
A0007,76.5000,10.5253,77.5000,1.0000,0.1250,24,3.0000,32.0000,8.0000,40.0000,0.2000,0.0000,0,3
A0008,78.1000,9.9573,77.5000,1.0000,0.1000,20,3.0000,32.0000,8.0000,40.0000,0.2000,0.0000,0,3
A0009,81.4800,10.6736,80.0000,1.0000,0.2000,25,2.0000,48.0000,8.0000,56.0000,0.1429,0.0000,0,3
