group_no,dept_no,total_records,valid_scores,missing_scores,invalid_scores,low_scores,average_score,score_stddev,pass_rate
1,A,250,250,0,0,0,78.2,11.26,100.0
1,B,250,250,0,0,0,80.07,10.97,100.0
1,C,250,250,0,0,0,77.13,11.22,100.0
2,A,1125,1125,0,0,103,77.43,13.21,90.84
2,B,1765,1045,720,0,102,77.1,13.4,90.24
2,C,1865,1025,840,0,96,77.48,13.51,90.63
3,A,250,250,0,0,0,78.66,9.77,100.0
3,B,26,0,26,0,0,,,
3,C,250,75,175,0,0,70.0,4.55,100.0
4,A,250,0,250,0,0,,,
4,B,250,0,250,0,0,,,
4,C,250,0,250,0,0,,,
5,A,250,250,0,0,250,0.0,0.0,0.0
5,B,250,250,0,0,250,0.0,0.0,0.0
5,C,250,250,0,0,250,0.0,0.0,0.0
6,A,250,250,0,0,49,74.44,14.12,80.4
6,B,250,250,0,0,40,75.22,13.52,84.0
6,C,250,250,0,0,58,73.56,13.73,76.8
7,A,233,233,0,0,0,78.88,11.7,100.0
7,B,348,348,0,0,0,79.95,11.77,100.0
7,C,169,169,0,0,0,81.89,10.93,100.0
8,A,250,250,0,0,0,83.46,9.12,100.0
8,B,250,250,0,0,0,83.46,9.12,100.0
8,C,250,250,0,0,0,83.46,9.12,100.0
9,A,250,250,0,0,22,75.94,11.68,91.2
9,B,250,250,0,0,22,75.28,11.46,91.2
9,C,250,250,0,0,30,73.9,11.96,88.0
10,A,250,250,0,0,0,80.1,11.97,100.0
10,B,250,250,0,0,0,80.1,11.97,100.0
10,C,250,250,0,0,0,79.91,8.97,100.0
11,A,250,250,0,0,0,79.94,11.84,100.0
11,B,250,250,0,0,0,80.0,11.78,100.0
11,C,250,250,0,0,0,77.3,11.31,100.0
12,A,251,0,251,0,0,,,
12,B,251,0,251,0,0,,,
12,C,250,250,0,0,250,0.0,0.0,0.0
14,A,250,250,0,0,0,79.91,11.86,100.0
14,B,250,250,0,0,0,79.96,11.87,100.0
14,C,250,250,0,0,0,80.01,11.87,100.0
15,A,250,250,0,0,0,85.18,8.67,100.0
15,B,250,250,0,0,0,85.16,8.54,100.0
15,C,250,250,0,0,0,84.35,8.58,100.0
16,A,250,250,0,0,0,87.0,4.2,100.0
16,B,250,250,0,0,250,0.0,0.0,0.0
16,C,250,250,0,0,250,0.0,0.0,0.0
17,A,250,250,0,0,0,79.69,11.78,100.0
17,B,250,250,0,0,0,80.12,11.77,100.0
17,C,250,250,0,0,0,80.64,12.2,100.0
18,A,250,250,0,0,0,82.0,7.21,100.0
18,B,250,250,0,0,0,82.0,7.21,100.0
18,C,250,250,0,0,0,82.0,7.21,100.0
19,A,250,0,250,0,0,,,
19,B,250,0,250,0,0,,,
19,C,250,0,250,0,0,,,
20,A,250,0,250,0,0,,,
20,B,250,0,250,0,0,,,
20,C,250,0,250,0,0,,,
21,A,250,250,0,0,0,79.07,12.0,100.0
21,B,250,250,0,0,0,81.23,11.72,100.0
21,C,250,250,0,0,0,79.17,12.41,100.0
22,A,251,0,251,0,0,,,
22,B,252,0,252,0,0,,,
22,C,250,250,0,0,250,0.0,0.0,0.0
23,A,250,250,0,0,0,77.48,12.05,100.0
23,B,250,250,0,0,0,76.9,7.78,100.0
23,C,250,250,0,0,0,77.48,12.05,100.0
25,B,250,250,0,0,149,49.66,28.63,40.4
25,C,250,250,0,0,151,49.55,27.54,39.6
27,A,250,101,149,0,0,78.73,11.37,100.0
27,B,250,249,1,0,0,78.76,11.23,100.0
27,C,251,250,1,0,0,78.52,11.74,100.0
28,A,250,0,250,0,0,,,
28,B,250,0,250,0,0,,,
28,C,250,250,0,0,250,0.0,0.0,0.0
