rank,group_no,distance,stu_count,gender_ratio_male,course_count,avg_credit,avg_class_hours,avg_practice_hours,share_ratio,avg_score,std_score,pass_rate,score_q25,score_q75,bin_fail,bin_60s,bin_70s,bin_80s,bin_90s,enrollment_density
0,18,0.0,150.0000,0.5000,30.0000,3.0000,48.0000,0.0000,0.0000,82.0000,7.2159,1.0000,76.0000,88.0000,0.0000,0.0000,0.4000,0.4000,0.2000,5.0000
1,8,2.3621,150.0000,0.5200,10.0000,3.0000,48.0000,0.0000,0.6000,83.4560,9.1213,1.0000,76.0000,91.0000,0.0000,0.0600,0.3200,0.3200,0.3000,5.0000
2,10,2.4900,150.0000,0.5000,30.0000,2.9000,45.6000,2.9000,0.0000,80.0360,11.0726,1.0000,71.0000,90.0000,0.0000,0.2200,0.2707,0.2560,0.2533,5.0000
3,7,2.7916,150.0000,0.5267,30.0000,3.1333,47.3667,0.0000,0.0000,80.0507,11.6215,1.0000,70.0000,90.0000,0.0000,0.2413,0.2453,0.2427,0.2707,5.0000
4,9,3.0035,150.0000,0.5000,30.0000,3.0000,48.0000,0.0000,0.5000,75.0400,11.7419,0.9013,65.0000,85.0000,0.0987,0.2307,0.2840,0.2547,0.1320,5.0000
5,27,3.1839,150.0000,0.4400,30.0000,3.3000,53.5333,0.0000,0.0000,78.6550,11.4782,1.0000,69.0000,89.0000,0.0000,0.2650,0.2733,0.2300,0.2317,5.0067
6,6,3.3583,150.0000,0.5267,30.0000,3.2000,51.2000,0.0000,0.5000,74.4093,13.8175,0.8040,63.0000,86.0000,0.1960,0.1933,0.2213,0.2080,0.1813,5.0000
7,23,3.7368,150.0000,0.5000,20.0000,2.9500,38.7500,22.7500,0.0000,77.2867,10.8284,1.0000,68.0000,86.0000,0.0000,0.3040,0.2827,0.2533,0.1600,5.0000
8,1,3.8886,150.0000,0.4600,30.0000,2.7333,32.0000,16.0000,0.4000,78.4653,11.2226,1.0000,68.0000,88.0000,0.0000,0.2720,0.2533,0.2573,0.2173,5.0000
9,21,3.9769,150.0000,0.0000,30.0000,3.2000,32.0000,0.0000,0.0000,79.8227,12.0926,1.0000,69.0000,90.0000,0.0000,0.2613,0.2160,0.2573,0.2653,5.0000
10,11,4.0140,150.0000,0.0000,30.0000,2.9000,47.4667,0.0000,0.5333,79.0800,11.7209,1.0000,69.0000,89.0000,0.0000,0.2693,0.2547,0.2320,0.2440,5.0000
11,15,4.0514,150.0000,0.0000,30.0000,3.5000,56.0000,0.0000,0.5000,84.8973,8.6142,1.0000,77.0000,92.0000,0.0000,0.0000,0.3227,0.3147,0.3627,5.0000
12,3,4.1078,151.0000,0.5033,30.0000,2.9000,22.9000,6.6250,0.7000,76.6646,9.5840,1.0000,70.0000,83.0000,0.0000,0.2431,0.3785,0.2738,0.1046,3.4834
13,14,4.4873,150.0000,0.5067,30.0000,2.7000,43.2000,0.0000,1.0000,79.9600,11.8720,1.0000,70.0000,90.7500,0.0000,0.2427,0.2560,0.2280,0.2733,5.0000
14,25,5.0512,100.0000,0.5000,30.0000,3.0000,54.0000,0.0000,0.0000,49.6080,28.1197,0.4000,25.0000,75.0000,0.6000,0.1040,0.1020,0.1140,0.0800,5.0000
15,17,5.7422,150.0000,0.4000,30.0000,2.9667,46.4000,46.4000,0.7333,80.1493,11.9308,1.0000,70.0000,91.0000,0.0000,0.2467,0.2333,0.2373,0.2827,5.0000
16,16,6.2868,150.0000,0.3333,30.0000,3.2333,44.0000,7.7333,0.0000,29.0000,41.1111,0.3333,0.0000,85.0000,0.6667,0.0000,0.0000,0.2000,0.1333,5.0000
17,20,6.6080,150.0000,0.5000,30.0000,2.8000,37.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
18,4,7.1098,150.0000,0.1667,30.0000,2.8333,40.0000,11.6667,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
19,22,7.2444,153.0000,0.5686,30.0000,3.0000,48.0000,0.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,4.9216
20,28,7.2749,150.0000,0.5133,30.0000,2.8667,34.8000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000
21,5,7.3279,150.0000,0.0000,30.0000,2.9000,48.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000
22,12,7.4216,150.0000,0.0000,30.0000,3.1000,49.0667,0.0000,0.3667,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,5.0133
23,19,8.3470,150.0000,0.0000,30.0000,3.3667,0.0000,0.0000,0.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
24,2,9.4765,374.0000,0.0000,312.0000,2.6955,34.6410,12.4359,0.5641,77.3377,13.3733,0.9058,68.0000,88.0000,0.0942,0.1865,0.2488,0.2707,0.1997,12.7139
